degree-program,current-semester,hours-study-per-day-average,hours-per-day-use-mobile phone,GPA-current/previous-semester,expected-GPA-this-course/semester,hours-sleep-per-night,average-class-attendance,hours-per-day-use-social-media-apps,use-mobile-during-study-sessions,preferred-study-time,primary-study-method,revise-within-24-hours-after-class,start–preparing-exams,academic-stress-level,motivation-level,procrastinate
DPT,5,1.5,1.5,3.99,3.22,6.4,83.3,3.8,Sometimes,Morning,Group study,Sometimes,Last day,5,1,No
BS Data Science,4,1.7,3.6,3.75,3.74,6.8,76.6,2.4,Sometimes,Morning,Mixed,Sometimes,2–3 days before,2,1,Sometimes
BS Data Science,5,1.7,3.3,4.0,3.14,2.5,85.3,3.4,Often,Evening,Mixed,Often,1 week before,3,1,Yes
BS Data Science,7,2.4,2.1,2.27,3.25,6.8,77.3,3.5,Rarely,Late night,Video lectures,Never,Throughout the semester,3,1,Yes
BS Accounting & finance,3,1.5,3.8,2.68,3.22,5.8,97.0,4.2,Sometimes,Late night,Mixed,Rarely,1 week before,4,2,Sometimes
BS Software Engineering,1,1.5,1.5,4.0,3.75,6.8,77.7,1.1,Often,Evening,Mixed,Sometimes,2–3 days before,2,3,Sometimes
BS Software Engineering,1,1.6,4.3,3.21,3.47,6.6,85.5,2.8,Sometimes,Afternoon,Mixed,Rarely,1 week before,1,5,Sometimes
BS Software Engineering,1,1.8,3.8,2.04,3.29,6.1,83.3,0.4,Sometimes,Evening,Mixed,Sometimes,Throughout the semester,2,1,Yes
BS Data Science,4,1.6,3.0,2.71,3.15,6.7,92.6,4.5,Often,Late night,Practice questions,Rarely,1 week before,3,1,Yes
BS Mathematics,5,4.3,4.5,3.07,3.39,2.5,75.2,3.1,Never,Morning,Mixed,Rarely,Last day,5,1,No
BS Data Science,5,1.5,2.8,1.63,3.3,14.5,74.0,3.4,Rarely,Late night,Mixed,Always,Last day,5,1,Sometimes
BS Data Science,7,1.7,3.7,1.62,3.27,5.9,86.9,1.7,Often,Morning,Mixed,Never,2–3 days before,5,1,Yes
BS Data Science,2,2.0,3.7,3.93,2.58,10.2,86.5,2.6,Sometimes,Evening,Video lectures,Sometimes,1 week before,3,1,Yes
BS Data Science,1,1.5,2.6,2.38,3.32,6.5,86.7,2.4,Sometimes,Afternoon,Mixed,Often,1 week before,2,2,Yes
BS Software Engineering,1,2.0,1.5,0.0,3.23,6.7,97.5,1.0,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,5,5,Sometimes
BS Software Engineering,2,1.7,4.3,3.41,3.14,6.7,87.3,2.5,Often,Late night,Mixed,Rarely,2–3 days before,3,2,Sometimes
BS Mathematics,2,1.9,4.5,2.28,3.12,5.8,79.2,4.5,Sometimes,Late night,Mixed,Sometimes,1 week before,5,5,No
BS Data Science,1,1.8,3.5,2.93,3.34,6.1,91.2,2.1,Sometimes,Evening,Mixed,Sometimes,Last day,2,2,Yes
BS Data Science,3,1.7,3.2,2.19,3.26,6.9,79.9,4.3,Sometimes,Late night,Mixed,Rarely,Throughout the semester,5,1,Yes
BBA,2,5.5,1.7,2.95,3.69,7.2,88.3,1.2,Rarely,Evening,Mixed,Rarely,1 week before,3,4,Sometimes
BS Data Science,5,1.5,2.1,2.21,3.32,14.3,78.8,2.5,Rarely,Afternoon,Video lectures,Always,Last day,3,1,Yes
BS Accounting & finance,5,2.1,4.5,2.86,3.65,13.9,85.8,4.2,Sometimes,Morning,Mixed,Never,2–3 days before,5,3,Sometimes
BS Software Engineering,5,1.5,3.4,3.49,3.75,6.4,89.1,4.5,Sometimes,Evening,Video lectures,Rarely,1 week before,5,2,No
BS Data Science,5,4.7,3.1,2.21,3.75,7.3,79.1,3.1,Sometimes,Late night,Mixed,Rarely,Throughout the semester,5,1,No
BS Accounting & finance,5,3.4,3.6,3.37,3.28,6.0,90.6,2.4,Rarely,Late night,Video lectures,Sometimes,1 week before,4,1,Yes
BS Software Engineering,1,2.1,1.5,2.16,3.28,6.7,75.1,0.2,Always,Evening,Mixed,Never,Throughout the semester,5,1,No
Radiology,2,4.5,3.4,3.02,3.73,12.8,93.6,2.5,Never,Evening,Practice questions,Often,Throughout the semester,1,5,Sometimes
BS Data Science,4,1.5,3.6,3.64,3.75,6.6,83.5,2.5,Sometimes,Morning,Mixed,Sometimes,2–3 days before,3,5,Sometimes
Docter of optometry,6,1.8,4.5,3.56,3.57,7.1,83.5,4.5,Always,Afternoon,Mixed,Rarely,Throughout the semester,3,3,Sometimes
BS Data Science,4,1.5,3.7,3.7,2.76,6.3,90.3,2.4,Always,Late night,Mixed,Often,1 week before,5,1,Sometimes
BS Accounting & finance,5,1.5,3.4,2.62,3.25,6.2,95.8,2.6,Rarely,Evening,Video lectures,Never,1 week before,4,3,Yes
BS Software Engineering,7,1.5,3.4,2.64,3.23,6.7,70.2,4.3,Sometimes,Morning,Mixed,Never,Last day,2,1,Yes
DPT,1,1.7,4.5,2.84,3.35,7.1,89.2,0.4,Sometimes,Morning,Mixed,Sometimes,Throughout the semester,3,3,Sometimes
BS Mathematics,4,1.7,3.5,3.47,3.29,6.5,90.6,3.9,Sometimes,Morning,Mixed,Sometimes,1 week before,4,1,Sometimes
BS Software Engineering,7,1.6,1.5,2.49,3.41,9.0,81.5,1.2,Sometimes,Morning,Mixed,Never,Throughout the semester,5,1,Yes
BBA,5,1.5,3.3,3.62,2.66,6.5,87.1,2.0,Often,Evening,Mixed,Sometimes,1 week before,5,1,Sometimes
BS Mathematics,5,2.1,2.0,3.13,3.16,6.5,89.2,3.6,Often,Late night,Mixed,Rarely,1 week before,2,3,Sometimes
BS AI,5,3.6,1.5,2.91,3.33,6.3,78.3,2.5,Sometimes,Morning,Mixed,Rarely,1 week before,4,1,Sometimes
Radiology,3,5.5,2.5,3.2,3.22,6.1,90.8,1.7,Sometimes,Evening,Video lectures,Sometimes,1 week before,4,3,No
BS Data Science,5,1.7,3.7,3.89,3.3,6.5,86.7,4.5,Sometimes,Morning,Mixed,Sometimes,2–3 days before,3,3,Sometimes
BS Data Science,2,3.7,4.5,2.3,3.33,7.3,82.7,2.4,Sometimes,Late night,Mixed,Rarely,1 week before,2,3,Sometimes
BS Data Science,2,5.5,3.4,1.66,3.12,5.5,91.0,3.8,Often,Late night,Group study,Always,Throughout the semester,0,4,Yes
BS Mathematics,6,1.9,4.5,4.0,3.75,5.8,97.5,2.9,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,5,3,Sometimes
BBA,4,1.5,1.5,2.49,3.17,3.9,83.9,3.5,Always,Late night,Practice questions,Often,1 week before,2,1,No
BS Accounting & finance,4,1.5,2.9,3.6,3.24,6.4,97.5,3.8,Sometimes,Morning,Mixed,Rarely,Last day,3,2,Sometimes
BS Data Science,5,1.7,2.1,2.29,3.3,6.6,96.1,2.6,Sometimes,Afternoon,Group study,Rarely,2–3 days before,5,1,Sometimes
BS Data Science,5,5.5,1.5,1.69,2.47,14.5,79.0,1.3,Rarely,Late night,Mixed,Often,Last day,1,4,Sometimes
BS AI,5,4.3,4.1,2.48,3.24,6.6,96.0,2.9,Sometimes,Morning,Mixed,Rarely,2–3 days before,3,5,Sometimes
BS Mathematics,5,1.9,3.5,2.36,3.35,6.5,77.2,3.2,Often,Morning,Mixed,Rarely,1 week before,5,1,Sometimes
BS Data Science,2,3.5,3.9,2.87,3.17,6.8,78.8,4.5,Sometimes,Late night,Mixed,Sometimes,1 week before,2,4,Yes
BS Mathematics,4,5.4,2.8,2.87,3.41,5.3,94.0,0.0,Often,Evening,Mixed,Sometimes,Throughout the semester,4,5,Sometimes
BBA,1,4.0,1.6,3.78,3.3,6.0,96.2,3.1,Sometimes,Late night,Mixed,Always,Throughout the semester,3,5,Sometimes
BS Data Science,4,1.9,3.5,2.14,3.2,10.1,76.7,0.6,Sometimes,Late night,Mixed,Sometimes,1 week before,5,1,Sometimes
BS Data Science,2,5.1,1.9,0.0,3.27,7.1,78.2,2.0,Often,Morning,Mixed,Often,Throughout the semester,5,1,Sometimes
BS Data Science,1,1.6,3.3,0.0,3.75,6.5,89.9,1.7,Rarely,Afternoon,Mixed,Never,1 week before,2,2,Yes
BS Mathematics,1,3.9,4.5,4.0,2.68,6.0,97.5,1.2,Sometimes,Afternoon,Video lectures,Sometimes,Throughout the semester,3,2,No
BBA,5,2.0,3.7,3.35,3.31,5.9,90.7,4.5,Sometimes,Late night,Mixed,Never,Last day,5,2,Sometimes
BS Software Engineering,7,4.3,2.7,1.67,3.28,6.8,77.4,3.9,Sometimes,Late night,Video lectures,Sometimes,1 week before,5,1,Yes
BS Data Science,6,1.9,3.6,0.0,3.23,6.2,72.2,2.3,Often,Morning,Mixed,Never,Last day,5,1,Yes
BS Software Engineering,4,2.0,3.7,3.84,3.41,6.9,85.9,3.6,Sometimes,Morning,Mixed,Never,1 week before,2,1,Yes
BS Urdu,3,5.5,2.1,2.44,3.68,6.3,90.8,3.1,Rarely,Late night,Mixed,Often,Throughout the semester,2,5,Sometimes
BS Data Science,1,5.5,3.9,2.86,3.61,5.8,91.5,2.1,Rarely,Late night,Mixed,Sometimes,Throughout the semester,4,2,Sometimes
BS Computer Science,5,4.0,4.2,3.01,3.28,7.9,93.0,2.2,Sometimes,Afternoon,Mixed,Rarely,Throughout the semester,5,3,Sometimes
BS Mathematics,5,1.5,1.8,2.92,3.25,7.0,91.0,4.0,Sometimes,Morning,Group study,Rarely,1 week before,3,2,Sometimes
BS Data Science,1,1.5,4.5,2.57,3.26,2.5,97.5,2.0,Often,Late night,Mixed,Sometimes,2–3 days before,4,5,Sometimes
BS Data Science,3,5.5,4.5,2.28,3.65,6.5,76.2,4.5,Rarely,Late night,Mixed,Rarely,Throughout the semester,3,3,No
BS Software Engineering,6,1.9,3.4,2.72,3.11,6.7,87.3,3.8,Sometimes,Morning,Mixed,Sometimes,Last day,3,2,Yes
Docter of optometry,1,4.8,2.3,2.53,3.22,6.6,78.5,1.9,Sometimes,Late night,Video lectures,Sometimes,1 week before,1,3,No
BS Software Engineering,2,1.9,3.6,2.88,3.18,11.5,93.3,3.2,Often,Morning,Mixed,Never,1 week before,2,4,Sometimes
BS Data Science,2,1.5,3.9,2.52,3.18,12.5,91.3,4.5,Sometimes,Late night,Mixed,Never,Last day,5,2,Yes
BS Data Science,5,3.8,4.5,3.13,3.75,7.6,77.2,3.5,Sometimes,Morning,Mixed,Rarely,Throughout the semester,2,1,Sometimes
BS Data Science,5,1.5,3.4,2.62,3.19,7.0,83.8,3.9,Sometimes,Morning,Video lectures,Rarely,Last day,5,1,Sometimes
BS Software Engineering,4,1.8,3.5,3.8,3.13,6.1,85.0,2.8,Sometimes,Evening,Mixed,Sometimes,2–3 days before,2,3,Yes
BS Data Science,3,1.5,2.3,1.64,3.62,14.5,70.7,0.7,Rarely,Late night,Group study,Always,Throughout the semester,3,4,Sometimes
BS Software Engineering,1,1.9,1.6,4.0,3.75,6.2,95.3,2.5,Sometimes,Evening,Mixed,Sometimes,1 week before,4,1,No
BS Data Science,1,1.6,3.7,1.78,3.32,6.0,92.0,3.0,Often,Late night,Mixed,Sometimes,1 week before,5,4,Yes
BBA,6,1.5,1.5,2.71,3.18,6.4,97.0,4.5,Often,Evening,Mixed,Rarely,1 week before,5,2,Yes
BSCS,2,3.3,1.5,3.22,3.64,12.7,88.9,4.0,Always,Late night,Mixed,Never,Throughout the semester,5,1,Sometimes
BS Accounting & finance,5,1.5,4.5,4.0,3.28,6.8,93.9,4.5,Often,Morning,Mixed,Rarely,1 week before,5,1,Yes
BSCS,6,1.7,3.8,2.84,3.75,6.6,67.5,3.1,Rarely,Morning,Mixed,Never,Throughout the semester,4,4,Yes
Radiology,5,5.5,3.2,3.75,3.33,11.7,85.6,4.5,Always,Morning,Video lectures,Rarely,Last day,5,1,No
BS Software Engineering,2,1.5,4.5,2.25,3.27,6.0,87.4,3.3,Often,Late night,Mixed,Never,1 week before,2,2,Sometimes
BSCS,1,5.5,1.5,1.99,3.27,6.9,76.5,2.6,Sometimes,Evening,Mixed,Often,2–3 days before,5,2,Sometimes
BS Software Engineering,7,5.5,3.1,0.0,3.18,14.0,95.6,2.6,Rarely,Evening,Mixed,Sometimes,Throughout the semester,3,1,Sometimes
BS Data Science,5,1.5,4.5,1.86,3.24,12.6,81.1,4.5,Sometimes,Late night,Mixed,Never,1 week before,5,1,Yes
BS Computer Science,4,4.7,2.4,1.7,3.28,6.1,83.4,1.5,Sometimes,Late night,Group study,Often,Last day,4,2,Sometimes
BS Data Science,1,2.3,3.4,2.56,3.21,7.0,92.2,2.1,Sometimes,Evening,Mixed,Often,Last day,0,1,Yes
Docter of optometry,5,1.8,3.5,3.96,3.7,6.8,91.4,3.1,Sometimes,Morning,Mixed,Never,Last day,5,1,Sometimes
BS Data Science,1,5.5,1.9,3.33,3.75,7.0,75.4,0.0,Rarely,Evening,Practice questions,Never,Throughout the semester,0,3,Sometimes
BS Urdu,3,4.3,2.3,3.02,3.75,6.8,97.5,1.9,Sometimes,Late night,Group study,Sometimes,2–3 days before,4,1,No
BS Software Engineering,5,1.7,2.3,3.74,3.37,7.1,97.5,4.5,Often,Morning,Video lectures,Sometimes,1 week before,2,3,No
BS AI,5,3.3,2.3,2.51,3.26,6.3,73.3,0.4,Always,Late night,Mixed,Often,Last day,0,4,Sometimes
BS Data Science,5,4.4,1.5,2.76,3.75,14.5,93.9,1.3,Rarely,Morning,Mixed,Rarely,1 week before,5,3,Sometimes
BS Mathematics,1,1.8,3.2,3.44,3.75,5.4,87.7,1.9,Sometimes,Evening,Mixed,Rarely,1 week before,0,4,No
BS Mathematics,4,3.3,1.5,1.44,3.31,14.5,76.6,1.5,Rarely,Afternoon,Group study,Rarely,Throughout the semester,3,2,Sometimes
BS Data Science,5,4.7,3.7,2.48,3.23,6.6,97.5,2.7,Sometimes,Late night,Mixed,Always,1 week before,5,3,Yes
BS Software Engineering,5,2.0,3.3,1.99,3.64,6.3,74.2,1.4,Sometimes,Late night,Mixed,Always,Throughout the semester,4,2,Sometimes
BS Software Engineering,1,2.3,3.2,3.22,3.4,6.0,71.2,2.5,Rarely,Evening,Mixed,Never,1 week before,4,2,Sometimes
BS Software Engineering,4,2.2,3.6,2.57,3.15,5.8,86.6,0.0,Often,Evening,Mixed,Often,Throughout the semester,3,1,Sometimes
BS Data Science,2,4.8,3.3,2.68,3.28,6.6,97.3,1.8,Rarely,Late night,Video lectures,Sometimes,Last day,3,4,Sometimes
Radiology,6,2.1,3.6,3.05,3.14,13.1,85.6,3.0,Rarely,Late night,Mixed,Rarely,2–3 days before,5,1,Sometimes
BS Urdu,3,5.5,3.4,2.97,3.09,6.3,96.1,4.5,Never,Morning,Video lectures,Sometimes,1 week before,1,1,Yes
BS Data Science,3,1.5,3.8,3.76,3.22,6.4,93.6,4.0,Always,Morning,Video lectures,Sometimes,Last day,2,3,Sometimes
BS Data Science,5,1.5,3.9,4.0,3.27,6.0,84.7,4.4,Sometimes,Morning,Mixed,Sometimes,Last day,5,3,Yes
BSCS,2,1.6,1.5,0.0,3.16,3.5,94.7,2.9,Rarely,Evening,Group study,Always,Throughout the semester,3,1,Sometimes
BBA,3,5.5,1.5,3.12,3.29,14.5,84.8,2.1,Always,Evening,Mixed,Always,Throughout the semester,3,1,Sometimes
Radiology,1,1.5,4.5,2.64,3.29,8.9,88.0,3.0,Sometimes,Morning,Mixed,Sometimes,1 week before,3,4,Sometimes
BBA,4,1.5,4.5,4.0,3.75,7.1,82.4,4.5,Sometimes,Late night,Mixed,Sometimes,1 week before,2,5,Sometimes
Docter of optometry,5,4.7,1.8,2.16,3.65,7.1,82.0,2.0,Always,Late night,Video lectures,Often,Last day,3,3,Sometimes
BSCS,2,1.5,3.6,3.52,3.75,6.3,97.5,3.1,Sometimes,Morning,Mixed,Rarely,Throughout the semester,5,3,No
BS AI,1,1.6,2.5,0.0,3.01,6.8,90.8,3.1,Sometimes,Late night,Mixed,Never,Last day,4,2,Yes
BBA,4,4.5,4.5,3.43,3.56,12.5,89.1,3.2,Always,Afternoon,Mixed,Sometimes,1 week before,3,4,Sometimes
BBA,4,1.6,1.6,0.0,3.31,3.3,74.5,0.5,Sometimes,Morning,Video lectures,Never,Last day,4,1,No
BS Software Engineering,4,1.9,3.4,2.09,3.28,5.7,81.5,1.9,Sometimes,Late night,Mixed,Rarely,1 week before,5,4,Sometimes
BS English,6,1.5,3.4,3.97,3.75,5.3,90.6,2.0,Sometimes,Late night,Mixed,Sometimes,Last day,5,5,Yes
BBA,4,4.5,1.5,1.89,3.66,6.5,97.5,0.4,Rarely,Evening,Video lectures,Sometimes,Throughout the semester,1,5,Sometimes
BS Software Engineering,5,1.5,3.8,4.0,3.72,6.1,93.1,4.5,Sometimes,Morning,Mixed,Sometimes,1 week before,2,1,Yes
BS Software Engineering,2,1.7,3.7,4.0,3.29,6.5,91.0,4.5,Sometimes,Late night,Mixed,Sometimes,1 week before,2,4,No
BS Software Engineering,3,2.0,2.6,2.31,3.3,6.8,89.9,2.2,Often,Late night,Group study,Never,2–3 days before,4,2,Sometimes
DPT,2,1.7,4.0,2.15,3.57,4.1,89.6,2.5,Often,Late night,Mixed,Often,1 week before,4,2,Sometimes
BBA,2,3.3,3.5,2.55,3.49,6.1,91.1,3.0,Rarely,Late night,Mixed,Sometimes,Throughout the semester,0,3,Sometimes
BS Data Science,5,5.5,3.6,1.95,3.14,12.4,75.1,2.7,Rarely,Late night,Mixed,Rarely,Throughout the semester,4,3,Sometimes
BS English,5,3.6,2.0,2.09,3.39,7.2,75.1,4.5,Always,Late night,Mixed,Rarely,1 week before,4,2,Sometimes
BS Urdu,4,5.5,1.5,0.0,3.64,7.4,96.4,1.2,Sometimes,Afternoon,Reading notes,Sometimes,Throughout the semester,3,1,No
BS Data Science,1,4.5,2.8,4.0,3.75,7.0,96.0,3.2,Never,Evening,Practice questions,Sometimes,Throughout the semester,2,4,Yes
BS Data Science,5,1.8,2.4,3.35,3.67,7.2,80.7,3.7,Sometimes,Afternoon,Practice questions,Never,Throughout the semester,4,1,No
BS Software Engineering,4,1.5,3.8,3.51,3.32,5.5,83.7,3.1,Sometimes,Evening,Video lectures,Sometimes,1 week before,3,3,Yes
BS Data Science,5,5.0,3.8,1.88,3.12,6.8,69.4,4.5,Often,Late night,Mixed,Rarely,1 week before,3,3,Yes
BS Software Engineering,1,2.0,3.2,3.69,3.25,10.5,76.3,1.4,Often,Late night,Mixed,Rarely,2–3 days before,5,1,Sometimes
BS AI,2,2.1,1.5,3.62,3.39,6.4,83.1,3.0,Sometimes,Evening,Video lectures,Rarely,Throughout the semester,5,1,No
BBA,5,2.7,3.2,3.65,3.75,6.4,91.6,4.5,Always,Late night,Mixed,Never,Last day,5,1,Yes
BS AI,6,1.5,3.8,3.27,3.35,6.6,96.3,4.5,Sometimes,Evening,Mixed,Always,Throughout the semester,3,3,Yes
BS Accounting & finance,1,3.9,4.5,4.0,3.31,6.6,92.6,4.5,Sometimes,Morning,Video lectures,Sometimes,Throughout the semester,3,4,Yes
BS Data Science,5,1.5,2.3,1.73,3.21,14.5,85.3,4.3,Rarely,Morning,Mixed,Never,1 week before,4,2,Sometimes
BS Data Science,4,5.4,3.5,1.97,3.3,6.7,76.1,1.8,Sometimes,Morning,Mixed,Never,2–3 days before,4,3,Sometimes
BS Data Science,7,2.0,3.3,3.23,3.15,6.6,96.1,2.2,Sometimes,Late night,Mixed,Rarely,1 week before,4,3,Sometimes
Radiology,2,2.2,3.7,3.73,3.75,5.7,90.6,1.3,Sometimes,Evening,Video lectures,Sometimes,Last day,3,4,No
BS AI,3,1.7,4.2,2.2,3.21,6.3,97.5,4.0,Often,Morning,Mixed,Never,Last day,4,4,No
BS Software Engineering,3,3.8,3.1,2.1,3.54,11.6,71.9,1.7,Often,Late night,Mixed,Often,Throughout the semester,4,3,Sometimes
BS Software Engineering,5,4.8,2.0,2.55,3.75,6.6,73.7,3.2,Often,Morning,Practice questions,Rarely,2–3 days before,3,3,Sometimes
BS Data Science,3,5.5,1.5,1.53,3.23,4.2,82.5,1.6,Rarely,Late night,Practice questions,Never,Throughout the semester,4,1,Sometimes
BS Software Engineering,3,1.7,3.6,3.91,3.75,6.0,95.8,4.5,Never,Morning,Reading notes,Sometimes,2–3 days before,5,2,Sometimes
BS Data Science,5,1.8,2.6,1.6,3.32,6.3,92.8,2.8,Often,Evening,Mixed,Rarely,Last day,1,1,Yes
Docter of optometry,4,1.5,4.0,4.0,3.3,6.5,92.6,2.7,Often,Afternoon,Mixed,Never,1 week before,3,1,Sometimes
BS AI,2,1.5,3.5,3.48,3.38,6.5,78.0,4.0,Sometimes,Morning,Mixed,Never,Last day,5,1,No
BS AI,7,2.1,4.5,3.63,3.75,6.4,83.5,4.4,Sometimes,Late night,Mixed,Rarely,Last day,5,1,Yes
BS Data Science,4,3.4,3.0,2.04,3.75,7.1,71.0,1.0,Rarely,Late night,Mixed,Sometimes,Throughout the semester,4,2,Yes
BS Accounting & finance,4,4.7,1.8,0.0,3.3,14.5,73.0,2.2,Rarely,Evening,Mixed,Never,Last day,3,1,No
BS AI,5,3.3,2.0,0.37,2.25,6.4,76.5,2.0,Rarely,Morning,Mixed,Often,Throughout the semester,5,1,No
BS Data Science,5,1.5,3.8,2.59,3.63,6.2,84.9,4.5,Often,Morning,Mixed,Rarely,Last day,5,1,Sometimes
Radiology,4,3.1,4.5,4.0,3.29,4.4,94.6,1.3,Sometimes,Morning,Mixed,Sometimes,1 week before,3,5,Sometimes
BS Software Engineering,4,1.6,3.9,3.95,3.75,6.2,92.0,4.4,Sometimes,Evening,Mixed,Rarely,1 week before,5,2,Yes
BS Software Engineering,7,1.7,2.8,3.62,3.09,6.4,92.6,1.9,Always,Morning,Mixed,Sometimes,Last day,4,3,Sometimes
BS Data Science,2,4.8,2.4,1.99,3.71,6.7,97.5,2.0,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,4,5,Sometimes
BS Data Science,4,2.9,4.2,2.16,3.31,7.5,74.6,1.1,Sometimes,Late night,Mixed,Rarely,Throughout the semester,3,2,Sometimes
BS AI,4,3.5,1.5,2.54,3.75,6.1,82.8,0.6,Sometimes,Late night,Mixed,Rarely,Throughout the semester,5,1,Sometimes
BS Data Science,5,1.5,3.3,3.34,3.75,6.4,89.9,3.7,Always,Late night,Mixed,Often,1 week before,5,1,No
BS English,4,5.5,3.6,2.28,2.89,6.3,86.4,3.1,Rarely,Morning,Mixed,Rarely,Throughout the semester,4,3,Yes
BS Data Science,6,1.6,3.3,3.27,3.18,6.6,88.5,1.1,Rarely,Late night,Mixed,Sometimes,Throughout the semester,3,3,Sometimes
BS Urdu,5,2.1,4.5,3.37,3.31,5.7,88.9,2.7,Sometimes,Evening,Mixed,Rarely,2–3 days before,5,2,No
BS Data Science,2,1.9,1.5,2.21,3.3,11.6,81.5,3.0,Sometimes,Evening,Mixed,Never,Throughout the semester,2,3,Yes
BS AI,5,5.5,3.5,1.92,3.06,6.3,87.9,3.4,Often,Late night,Mixed,Rarely,1 week before,4,1,Yes
BBA,6,1.6,2.0,2.81,3.35,6.0,86.0,2.8,Never,Late night,Group study,Rarely,Last day,5,1,No
BS Data Science,1,5.4,2.7,2.68,3.66,6.7,96.9,3.3,Often,Morning,Mixed,Never,2–3 days before,3,2,Sometimes
BS AI,7,3.3,3.8,2.85,3.34,7.3,92.5,4.5,Rarely,Late night,Mixed,Always,Throughout the semester,0,3,Sometimes
BS Data Science,5,1.5,4.4,0.0,3.64,6.6,93.4,1.7,Sometimes,Morning,Practice questions,Sometimes,1 week before,5,1,No
BS Data Science,3,3.4,2.2,3.04,3.75,11.3,87.4,0.2,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,0,4,Sometimes
BS Data Science,3,4.9,2.2,1.79,3.3,7.0,60.3,3.0,Rarely,Late night,Mixed,Rarely,2–3 days before,5,1,Sometimes
BS Software Engineering,6,3.7,4.3,2.29,3.67,7.4,93.3,3.0,Always,Afternoon,Practice questions,Often,Throughout the semester,3,1,Sometimes
BS Data Science,1,1.5,2.7,3.11,3.26,5.8,76.5,2.8,Sometimes,Evening,Mixed,Never,2–3 days before,5,1,Yes
BS Accounting & finance,4,1.5,3.6,0.0,3.33,5.2,88.4,2.1,Rarely,Morning,Practice questions,Always,Last day,4,5,Yes
BS Data Science,5,1.6,4.5,4.0,3.75,7.0,76.6,3.9,Sometimes,Late night,Mixed,Never,1 week before,3,3,Sometimes
BS AI,5,1.6,3.4,2.64,3.24,7.0,97.5,3.7,Sometimes,Morning,Group study,Rarely,Throughout the semester,3,1,Sometimes
BS AI,5,4.3,1.7,3.17,3.33,6.3,95.3,2.8,Sometimes,Evening,Group study,Rarely,1 week before,3,1,No
BS Data Science,3,5.5,1.5,0.0,3.42,11.2,79.0,1.9,Rarely,Evening,Video lectures,Sometimes,Throughout the semester,5,1,No
Radiology,6,1.6,4.5,2.35,2.96,11.9,97.5,2.7,Often,Morning,Mixed,Always,Last day,5,1,Yes
Docter of optometry,2,1.8,3.4,0.01,3.31,5.8,70.7,1.3,Sometimes,Evening,Video lectures,Sometimes,2–3 days before,4,1,Yes
BS AI,3,2.0,4.5,2.19,3.06,7.3,77.8,3.1,Sometimes,Late night,Mixed,Rarely,Throughout the semester,4,1,Yes
BS Data Science,1,1.8,2.1,2.88,3.34,6.6,97.3,1.5,Sometimes,Late night,Mixed,Never,2–3 days before,3,3,Sometimes
BS Data Science,4,1.8,4.5,2.96,3.75,7.4,68.3,3.8,Always,Late night,Mixed,Rarely,1 week before,3,3,Sometimes
BS Data Science,2,5.5,1.7,1.45,3.28,6.7,69.2,0.7,Rarely,Late night,Video lectures,Never,Throughout the semester,0,2,Sometimes
BSCS,4,1.5,3.8,3.9,3.75,5.8,95.8,3.8,Sometimes,Late night,Mixed,Sometimes,Last day,2,3,Sometimes
Docter of optometry,2,3.3,3.4,3.16,3.75,6.8,88.6,3.8,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,3,4,Sometimes
Radiology,4,2.2,2.5,2.61,3.75,7.4,88.6,2.6,Rarely,Morning,Reading notes,Rarely,Throughout the semester,5,2,Yes
BS AI,7,1.8,3.4,3.27,3.27,6.3,88.9,2.6,Often,Morning,Mixed,Never,Last day,3,3,Sometimes
Radiology,5,1.7,3.2,3.68,3.75,14.3,85.7,2.8,Sometimes,Morning,Mixed,Never,Last day,4,2,No
BBA,2,1.6,3.1,2.84,3.31,6.8,86.7,3.0,Rarely,Late night,Mixed,Sometimes,Throughout the semester,3,5,Sometimes
BS English,5,2.7,1.5,2.69,3.66,7.1,92.4,3.4,Always,Evening,Mixed,Often,Throughout the semester,5,3,Sometimes
BS Accounting & finance,6,1.5,1.9,2.88,3.2,6.1,94.6,1.6,Often,Morning,Video lectures,Rarely,Throughout the semester,5,1,Sometimes
BS Data Science,6,1.5,3.4,3.9,3.17,6.2,87.4,4.5,Sometimes,Morning,Mixed,Rarely,1 week before,4,1,Yes
BS Data Science,1,3.8,4.2,2.52,3.47,6.1,95.6,2.1,Sometimes,Late night,Practice questions,Often,Throughout the semester,1,1,Sometimes
BS Computer Science,2,2.0,4.5,3.99,3.65,6.4,93.7,4.5,Sometimes,Morning,Mixed,Often,2–3 days before,1,1,Sometimes
BS Software Engineering,6,1.5,3.0,2.78,3.56,6.5,82.9,3.3,Often,Late night,Mixed,Sometimes,1 week before,3,3,Sometimes
BS Data Science,3,2.1,3.6,2.65,3.57,6.7,90.4,4.5,Rarely,Late night,Mixed,Rarely,1 week before,0,5,Sometimes
BS Accounting & finance,4,1.9,3.7,2.98,3.25,6.3,78.2,1.7,Always,Late night,Mixed,Often,2–3 days before,5,3,Sometimes
BS Data Science,3,3.2,2.8,2.41,3.74,6.5,73.5,3.9,Always,Late night,Mixed,Often,Throughout the semester,4,1,Sometimes
